doi,openalex_type,bso_type
10.1093/cercor/bhz334,repository,closed
10.1145/3313831.3376448,repository,not_found
10.1111/1365-2478.12893,repository,not_found
10.1111/tri.13586,repository,publisher;repository
10.1101/2020.04.30.20085670,repository,not_found
10.1021/acs.jcim.0c00745,repository,closed
10.3847/1538-4357/ab9a54,repository,publisher;repository
10.1088/1361-648x/ab5be8,repository,not_found
10.1101/2020.03.02.974139,repository,not_found
10.1200/jco.19.00396,repository,closed
10.1200/go.20.00376,repository,publisher;repository
10.1007/978-3-030-19420-8,repository,closed
10.1016/j.ceca.2019.102127,repository,closed
10.1016/j.physleta.2020.126266,repository,closed
10.1101/2020.03.09.984278,repository,not_found
10.2210/pdb6ws6/pdb,repository,not_found
10.1002/ange.201913200,repository,not_found
10.1515/crll.2005.2005.580.101,repository,not_found
10.1021/jacs.9b11207,repository,closed
10.1111/bph.14998,repository,closed
10.1002/ijc.33131,repository,closed
10.1101/2020.06.18.159111,repository,publisher;repository
10.1101/2020.07.22.213959,repository,not_found
10.1101/2020.08.14.248880,repository,not_found
10.1101/2020.09.17.300996,repository,publisher;repository
10.1093/geronb/gbz040,repository,closed
10.1016/j.jclepro.2019.119209,repository,closed
10.3847/1538-4357/ab6221,repository,not_found
10.1089/end.2019.0750,repository,closed
10.1016/b978-0-12-815134-1.00003-9,repository,closed
10.32388/fxgqsb,repository,not_found
10.3238/arztebl.2020.0389,repository,not_found
10.1161/circep.120.008798,repository,closed
10.1002/14651858.cd005583.pub3,repository,closed
10.1101/867739,repository,not_found
10.1681/asn.2019050534,repository,closed
10.1101/2020.03.31.017889,repository,not_found
10.1016/j.jhep.2020.06.034,repository,not_found
10.1101/2020.08.14.20174490,repository,not_found
10.2139/ssrn.3671674,repository,not_found
10.48550/arxiv.2010.10392,repository,not_found
10.1101/2020.11.10.20228528,repository,not_found
10.1101/2020.12.01.406389,repository,not_found
10.4103/jmau.jmau_63_20,repository,closed
10.1109/globecom42002.2020.9322234,repository,not_found
10.1007/978-3-030-13901-8,repository,closed
10.1080/00309230.2019.1604774,repository,not_found
10.1016/j.enconman.2019.112407,repository,closed
10.1101/2020.03.27.20045237,repository,not_found
10.1111/liv.14518,repository,closed
10.1101/2020.05.19.20101832,repository,publisher;repository
10.1109/cvpr42600.2020.00455,repository,not_found
10.1136/jnnp-2020-322987,repository,not_found
10.1109/msp.2020.3003836,repository,not_found
10.21203/rs.3.rs-70482/v1,repository,not_found
10.1101/532895,repository,not_found
10.2139/ssrn.3596670,repository,not_found
10.2139/ssrn.1997178,repository,not_found
10.1016/j.telpol.2020.101944,repository,not_found
10.1097/pcc.0000000000002160,repository,closed
10.1101/2020.01.13.903542,repository,not_found
10.1101/2020.02.24.20027326,repository,publisher;repository
10.1137/18m1169242,repository,not_found
10.1101/2020.05.04.20072447,repository,publisher;repository
10.1021/jacs.0c08732,repository,closed
10.1002/ange.202002387,repository,not_found
10.1137/17m1144854,repository,not_found
10.1002/ejoc.201901086,repository,closed
10.1111/bpa.12788,repository,closed
10.1158/1055-9965.epi-19-0653,repository,closed
10.1098/rspb.2019.2783,repository,closed
10.1002/anie.202000795,repository,not_found
10.1101/2020.04.07.029090,repository,not_found
10.1080/21541264.2020.1764312,repository,closed
10.1002/ange.202010859,repository,not_found
10.2139/ssrn.3737689,repository,not_found
10.2139/ssrn.3731856,repository,not_found
10.1002/ange.201913804,repository,not_found
10.1093/ej/ueaa003,repository,not_found
10.1109/jsyst.2019.2935458,repository,closed
10.1016/j.future.2019.11.013,repository,closed
10.1007/978-3-030-34163-3,repository,closed
10.1002/alz.12080,repository,closed
10.1101/2020.05.20.106575,repository,publisher;repository
10.3847/1538-4357/abdd3f,repository,not_found
10.1109/cvprw50498.2020.00229,repository,not_found
10.2139/ssrn.3581359,repository,not_found
10.1101/2020.12.29.424482,repository,not_found
10.2139/ssrn.3596671,repository,not_found
10.1002/ange.201914025,repository,not_found
10.1101/778944,repository,not_found
10.1007/s00234-020-02360-9,repository,closed
10.1128/jcm.01687-19,repository,closed
10.1063/1.5144277,repository,not_found
10.1002/adma.202000566,repository,closed
10.1101/2020.05.15.20103010,repository,not_found
10.1101/2020.06.07.138883,repository,not_found
10.1101/2020.06.12.130195,repository,not_found
10.1101/2020.07.09.196519,repository,not_found
10.21437/interspeech.2020-1835,repository,not_found
10.1098/rsos.201382,repository,publisher;repository
10.1117/12.2565812,repository,not_found
10.1002/anie.202006576,repository,not_found
10.1002/ange.201910180,repository,not_found
10.18727/0722-6691/5195,repository,not_found
10.1177/0271678x19883599,repository,closed
10.1128/jvi.01751-19,repository,closed
10.14309/ajg.0000000000000492,repository,closed
10.1101/2020.02.08.939314,repository,not_found
10.1093/cid/ciaa426,repository,publisher;repository
10.1101/2020.04.06.028688,repository,not_found
10.1101/2020.04.22.20074914,repository,not_found
10.2337/dc19-2348,repository,not_found
10.1053/j.ajkd.2020.01.009,repository,closed
10.1101/2020.05.01.20077743,repository,not_found
10.1109/wacv45572.2020.9093564,repository,not_found
10.1093/rheumatology/keaa217,repository,not_found
10.48550/arxiv.2006.03806,repository,not_found
10.1101/2020.07.14.20153536,repository,not_found
10.1109/mcom.001.1900742,repository,not_found
10.1063/5.0021849,repository,not_found
10.1101/2020.05.26.116020,repository,not_found
10.26356/sustainablefood,repository,not_found
10.2514/1.a34429,repository,not_found
10.1104/pp.19.00682,repository,closed
10.1097/pas.0000000000001414,repository,closed
10.1111/febs.15179,repository,closed
10.1158/1055-9965.epi-19-1212,repository,closed
10.1101/2020.02.11.944652,repository,not_found
10.1101/2020.02.14.20022939,repository,not_found
10.1152/ajpcell.00450.2019,repository,closed
10.1101/2020.04.16.021444,repository,not_found
10.1002/jcph.1616,repository,closed
10.1137/18m1233480,repository,not_found
10.1101/313759,repository,publisher;repository
10.23919/acc45564.2020.9147807,repository,not_found
10.1101/2020.08.09.242917,repository,not_found
10.1136/ebmental-2020-300158,repository,not_found
10.48550/arxiv.2009.05537,repository,not_found
10.1101/2020.10.14.339515,repository,not_found
10.1017/jfm.2020.264,repository,not_found
10.1101/2020.11.18.388819,repository,publisher;repository
10.18727/0722-6691/5197,repository,not_found
10.1101/2020.11.21.392639,repository,publisher;repository
10.1002/ange.201912902,repository,not_found
10.2308/accr-52442,repository,not_found
10.1016/j.lrp.2019.101891,repository,not_found
10.1111/bpa.12768,repository,closed
10.1137/1.9781611975994.107,repository,not_found
10.1137/1.9781611975994.117,repository,not_found
10.1101/2020.03.27.009480,repository,not_found
10.1101/2020.04.27.063578,repository,not_found
10.1101/2020.04.27.063586,repository,not_found
10.5664/jcsm.8752,repository,closed
10.1101/2020.12.29.424715,repository,not_found
10.2139/ssrn.3682021,repository,not_found
10.2139/ssrn.3586569,repository,not_found
10.2139/ssrn.3603847,repository,not_found
10.1002/ange.202002953,repository,not_found
10.1002/ange.202006267,repository,not_found
10.1002/ange.201912883,repository,not_found
10.1016/j.ejmg.2019.103703,repository,closed
10.1007/978-3-030-26913-5,repository,closed
10.1002/ijc.32727,repository,closed
10.1016/j.matbio.2019.11.003,repository,closed
10.1101/2020.02.20.20025999,repository,not_found
10.23919/acc45564.2020.9147284,repository,not_found
10.1128/aac.00291-20,repository,closed
10.1101/2020.04.13.20059691,repository,not_found
10.1101/2020.05.11.088948,repository,publisher;repository
10.1101/2020.06.03.20119925,repository,not_found
10.1109/jiot.2020.3002330,repository,closed
10.1101/2020.06.16.151704,repository,not_found
10.1016/j.jeurceramsoc.2020.06.035,repository,not_found
10.5194/gmd-2019-136,repository,not_found
10.1016/j.porgcoat.2020.105854,repository,closed
10.1016/j.ijfatigue.2020.105769,repository,publisher;repository
10.1063/5.0021237,repository,not_found
10.7189/jogh.10.020422,repository,closed
10.1145/3422822,repository,not_found
10.1101/525709,repository,publisher;repository
10.3171/2019.2.jns182743,repository,not_found
10.1098/rstb.2019.0681,repository,not_found
10.1101/2020.04.23.20075796,repository,not_found
10.1101/2020.05.12.20098236,repository,publisher;repository
10.1101/2020.05.22.110122,repository,publisher;repository
10.1016/j.jhazmat.2020.123026,repository,closed
10.1039/d0dt01527j,repository,closed
10.1101/2020.07.14.202028,repository,not_found
10.1101/2020.07.24.20159947,repository,not_found
10.2139/ssrn.3541361,repository,not_found
10.1101/2020.08.10.241414,repository,not_found
10.21203/rs.3.rs-33958/v1,repository,not_found
10.21437/interspeech.2020-3084,repository,not_found
10.1111/ene.14474,repository,closed
10.1101/2020.10.20.20213116,repository,publisher;repository
10.1101/2020.11.03.20225359,repository,publisher;repository
10.1101/2020.06.12.147660,repository,publisher;repository
10.1101/263186,repository,publisher;repository
10.3390/nano10112285,repository,publisher;repository
10.1101/2020.11.17.385252,repository,not_found
10.1101/2020.12.16.20247684,repository,not_found
10.2139/ssrn.3557360,repository,not_found
10.20944/preprints202002.0365.v1,repository,not_found
10.14778/3436905.3436917,repository,not_found
10.1002/ange.202010846,repository,not_found
10.1007/978-3-319-96131-6,repository,closed
10.1101/2020.03.22.20040915,repository,not_found
10.3171/2019.4.jns19347,repository,not_found
10.1145/3364181,repository,not_found
10.1017/beq.2019.25,repository,not_found
10.1136/jnnp-2019-321737,repository,not_found
10.1111/jgs.16282,repository,closed
10.1177/1591019919895676,repository,closed
10.1101/2020.01.08.899682,repository,publisher;repository
10.1121/10.0000812,repository,closed
10.1016/j.lithos.2020.105516,repository,closed
10.1101/2020.04.13.039172,repository,not_found
10.1101/2020.04.17.046672,repository,not_found
10.1101/2020.04.20.20072942,repository,not_found
10.1101/2020.05.14.095901,repository,not_found
10.1136/heartjnl-2020-316540,repository,closed
10.1007/978-3-030-42307-0,repository,not_found
10.1109/cvpr42600.2020.00018,repository,not_found
10.1158/1078-0432.ccr-20-0704,repository,publisher
10.1002/chem.202002401,repository,closed
10.1101/2020.06.30.180448,repository,not_found
10.1111/liv.14603,repository,closed
10.31233/osf.io/7pa5c,repository,not_found
10.1101/2020.08.13.249847,repository,not_found
10.1073/pnas.2005600117,repository,closed
10.2217/epi-2020-0236,repository,closed
10.1101/2020.11.07.20227728,repository,not_found
10.1109/focs46700.2020.00061,repository,not_found
10.1109/3dv50981.2020.00022,repository,not_found
10.1002/ange.201913135,repository,not_found
10.1002/ange.202001733,repository,not_found
10.2307/j.ctv15r57cw,repository,not_found
10.1007/s003390201405,repository,not_found
10.4230/lipics.icdt.2019.19,repository,not_found
10.1080/01621459.2019.1585252,repository,not_found
10.1128/jvi.01733-19,repository,closed
10.1111/bjir.12504,repository,not_found
10.1016/j.micromeso.2019.109966,repository,not_found
10.1101/2020.01.20.910539,repository,not_found
10.1007/978-3-030-36915-6,repository,closed
10.1039/c9dt04890a,repository,closed
10.1101/2020.03.05.976878,repository,publisher;repository
10.1101/2020.03.19.998898,repository,not_found
10.1101/2020.04.07.20045617,repository,not_found
10.1101/2020.04.07.029264,repository,not_found
10.1016/j.ress.2020.107007,repository,closed
10.1093/jas/skaa161,repository,closed
10.1101/2020.05.18.100545,repository,not_found
10.1101/2020.06.24.20138875,repository,not_found
10.1101/2020.05.04.20090902,repository,not_found
10.1016/j.envres.2020.109944,repository,closed
10.1021/acs.orglett.0c02193,repository,closed
10.1101/2020.08.06.239558,repository,not_found
10.1145/3386569.3392451,repository,not_found
10.1101/2020.09.04.283085,repository,not_found
10.1101/2020.09.07.286500,repository,publisher;repository
10.1089/3dp.2020.0175,repository,closed
10.21437/interspeech.2020-1186,repository,not_found
10.1101/2020.11.12.20230508,repository,not_found
10.1101/2020.11.30.404905,repository,publisher;repository
10.1101/2020.12.17.423041,repository,publisher;repository
10.1007/978-3-030-43830-2,repository,closed
10.5194/acp-2019-1202,repository,publisher;repository
10.1002/ange.202006088,repository,not_found
10.1002/ange.202008408,repository,not_found
10.18653/v1/p17,repository,not_found
10.1101/513119,repository,publisher;repository
10.1101/694364,repository,not_found
10.1101/2020.01.14.905794,repository,not_found
10.1137/1.9781611975994.138,repository,not_found
10.1039/d0cc00869a,repository,closed
10.1016/j.neuropharm.2020.108029,repository,closed
10.4337/9781788114523.00023,repository,not_found
10.1101/2020.03.26.20042184,repository,not_found
10.1558/jch.39395,repository,not_found
10.1101/2020.04.04.20047886,repository,not_found
10.3171/2020.1.peds19487,repository,not_found
10.1093/eurheartj/ehz405,publisher;repository,not_found
10.1056/nejmoa2005412,publisher;repository,not_found
10.15585/mmwr.mm6924e2,publisher;repository,not_found
10.1161/circulationaha.120.048360,publisher;repository,publisher
10.1056/nejmoa2019014,publisher;repository,not_found
10.1056/nejmoa1914347,publisher;repository,publisher
10.15585/mmwr.mm6925a1,publisher;repository,not_found
10.1038/s41467-020-17670-y,publisher;repository,publisher
10.1056/nejmoa2002788,publisher;repository,publisher
10.1016/j.cell.2020.03.046,publisher;repository,publisher
10.1016/j.neuroimage.2019.116189,publisher;repository,publisher
10.1016/j.cgh.2020.04.001,publisher;repository,repository
10.1007/s10479-020-03685-7,publisher;repository,publisher
10.1038/s41577-020-00451-5,publisher;repository,publisher
10.1016/j.ctrv.2020.102017,publisher;repository,publisher
10.15585/mmwr.mm6940e1,publisher;repository,not_found
10.15585/mmwr.mm6918e1,publisher;repository,not_found
10.1016/j.jpubeco.2020.104316,publisher;repository,repository
10.1093/cid/ciaa1125,publisher;repository,publisher
10.1056/nejmoa1910355,publisher;repository,publisher
10.1016/j.ymthe.2019.12.010,publisher;repository,publisher
10.1136/esmoopen-2020-001079,publisher;repository,publisher
10.1128/microbiolspec,publisher;repository,not_found
10.1056/nejmoa1916431,publisher;repository,publisher
10.1172/jci141113,publisher;repository,not_found
10.1182/blood.2020008423,publisher;repository,publisher
10.1080/15548627.2020.1714209,publisher;repository,publisher
10.1016/j.immuni.2020.02.015,publisher;repository,publisher
10.1001/jamaoncol.2020.0726,publisher;repository,publisher
10.1016/j.ejvs.2019.09.006,publisher;repository,not_found
10.1182/blood.2020006844,publisher;repository,publisher
10.1038/s41467-020-17773-6,publisher;repository,publisher
10.1001/jamainternmed.2019.5942,publisher;repository,publisher
10.15585/mmwr.mm6931e1,publisher;repository,not_found
10.1111/jth.15016,publisher;repository,publisher
10.1016/j.cell.2020.03.021,publisher;repository,publisher
10.1116/6.0000377,publisher;repository,publisher
10.15585/mmwr.mm6949e2,publisher;repository,not_found
10.1016/j.jhep.2019.11.003,publisher;repository,not_found
10.1126/science.aax3338,publisher;repository,publisher
10.1182/bloodadvances.2020003001,publisher;repository,publisher
10.1111/tpj.14578,publisher;repository,publisher
10.1016/j.jmrt.2020.01.002,publisher;repository,not_found
10.1055/a-1140-3017,publisher;repository,publisher
10.1111/cas.14532,publisher;repository,publisher
10.1002/adfm.201909125,publisher;repository,publisher
10.2196/16504,publisher;repository,publisher
10.15585/mmwr.mm6939e2,publisher;repository,not_found
10.1016/j.cmet.2020.02.003,publisher;repository,publisher
10.1093/ptep/ptaa008,publisher;repository,not_found
10.1111/all.14122,publisher;repository,publisher
10.12688/wellcomeopenres.16006.1,publisher;repository,not_found
10.1016/j.stem.2020.01.017,publisher;repository,publisher
10.1016/j.molcel.2019.12.015,publisher;repository,publisher
10.1145/3351095.3372879,publisher;repository,not_found
10.15585/mmwr.mm6927a3,publisher;repository,not_found
10.1093/cid/ciz1243,publisher;repository,publisher
10.1093/brain/awaa156,publisher;repository,publisher
10.1016/j.ijplas.2019.08.009,publisher;repository,publisher
10.1001/jama.2020.16909,publisher;repository,publisher
10.15585/mmwr.mm6945e2,publisher;repository,not_found
10.1093/biosci/biaa041,publisher;repository,publisher
10.1126/sciadv.abb4540,publisher;repository,publisher
10.15585/mmwr.mm6942a3,publisher;repository,not_found
10.1186/s40168-020-00827-8,publisher;repository,not_found
10.1200/jco.19.03054,publisher;repository,publisher
10.1200/jco.20.00201,publisher;repository,publisher
10.1016/j.jaad.2020.05.145,publisher;repository,repository
10.1016/j.biotechadv.2019.107463,publisher;repository,publisher
10.1016/j.thromres.2020.05.025,publisher;repository,repository
10.1080/2162402x.2020.1777624,publisher;repository,publisher
10.4088/jcp.20com13370,publisher;repository,publisher
10.1093/ejcts/ezz296,publisher;repository,not_found
10.1016/j.ajog.2020.07.045,publisher;repository,publisher
10.1016/j.matt.2019.11.001,publisher;repository,publisher
10.1096/fj.1530-6860,publisher;repository,not_found
10.1109/access.2020.2981430,publisher;repository,publisher
10.1136/ebmental-2019-300129,publisher;repository,publisher
10.1007/s41885-020-00066-z,publisher;repository,not_found
10.1016/j.cell.2020.01.033,publisher;repository,publisher
10.1001/jama.2019.22525,publisher;repository,publisher
10.1097/ta.0000000000002727,publisher;repository,publisher
10.1080/1547691x.2020.1804492,publisher;repository,publisher
10.1523/jneurosci.1871-19.2019,publisher;repository,not_found
10.1016/j.trac.2020.115883,publisher;repository,publisher
10.2196/19787,publisher;repository,publisher
10.1016/j.gsf.2018.10.010,publisher;repository,publisher
10.1161/circulationaha.119.043971,publisher;repository,publisher
10.1016/j.jtho.2020.01.016,publisher;repository,publisher
10.1038/s43018-020-00122-3,publisher;repository,publisher
10.1016/j.cofs.2020.01.009,publisher;repository,publisher
10.1016/j.puhe.2020.08.026,publisher;repository,repository
10.1016/j.medj.2020.12.001,publisher;repository,publisher
10.1200/jco.20.01661,publisher;repository,publisher
10.1016/j.devcel.2020.06.009,publisher;repository,publisher
10.1038/s41598-020-69920-0,publisher;repository,publisher
10.3389/fpsyt.2020.00824,publisher;repository,publisher
10.1161/circulationaha.120.049210,publisher;repository,publisher
10.1039/c9tb02767j,publisher;repository,publisher
10.1001/jamaoncol.2020.2218,publisher;repository,publisher
10.1002/batt.201900135,publisher;repository,publisher
10.1136/gutjnl-2019-319637,publisher;repository,publisher
10.1021/acs.jpcb.0c06288,publisher;repository,publisher
10.1016/j.chom.2020.01.028,publisher;repository,publisher
10.1016/j.ccell.2020.04.004,publisher;repository,publisher
10.1053/j.gastro.2019.10.018,publisher;repository,publisher
10.1039/d0na00100g,publisher;repository,publisher
10.15585/mmwr.mm6939e4,publisher;repository,not_found
10.1183/16000617.0052-2019,publisher;repository,publisher
10.1016/j.ibmb.2017.01.005,publisher;repository,publisher
10.1172/jci135460,publisher;repository,publisher
10.1093/gji/ggaa253,publisher;repository,publisher
10.1080/02786826.2019.1676878,publisher;repository,publisher
10.1016/j.diii.2020.04.003,publisher;repository,repository
10.1016/s2468-1253(20)30183-7,publisher;repository,repository
10.1007/s00134-020-06219-8,publisher;repository,publisher
10.1609/aaai.v34i07.6964,publisher;repository,not_found
10.1016/s2213-2600(20)30170-3,publisher;repository,repository
10.1016/j.drup.2020.100704,publisher;repository,publisher
10.1016/j.pharmthera.2020.107627,publisher;repository,repository
10.1158/1078-0432.ccr-19-2109,publisher;repository,publisher
10.2147/ijn.s255784,publisher;repository,publisher
10.1016/j.jaci.2019.07.004,publisher;repository,not_found
10.1136/gutjnl-2019-319514,publisher;repository,publisher
10.1016/j.jacc.2020.05.045,publisher;repository,publisher
10.3390/su12062193,publisher;repository,not_found
10.1145/3414685.3417803,publisher;repository,not_found
10.1016/j.joule.2019.11.014,publisher;repository,publisher
10.1182/blood.2019000928,publisher;repository,publisher
10.1016/j.ejmech.2020.112290,publisher;repository,publisher
10.1016/j.jppr.2020.10.002,publisher;repository,publisher
10.1017/s1751731119002775,publisher;repository,publisher
10.1136/heartjnl-2019-315481,publisher;repository,publisher
10.1161/atvbaha.119.313046,publisher;repository,publisher
10.16997/jdd.141,publisher;repository,not_found
10.1016/s2468-1253(20)30151-5,publisher;repository,repository
10.3389/fbioe.2020.00776,publisher;repository,not_found
10.1016/j.accpm.2020.01.005,publisher;repository,publisher
10.1073/pnas.1922563117,publisher;repository,publisher
10.5501/wjv.v9.i5.79,publisher;repository,publisher
10.1007/s10120-019-00983-3,publisher;repository,publisher
10.1002/admt.201900662,publisher;repository,publisher
10.1001/jamasurg.2020.0089,publisher;repository,publisher
10.3386/w27264,publisher;repository,not_found
10.1016/j.envint.2020.105927,publisher;repository,publisher
10.1002/cey2.73,publisher;repository,publisher
10.1136/annrheumdis-2020-217362,publisher;repository,publisher
10.1016/j.energy.2020.117905,publisher;repository,publisher
10.1038/s41396-020-0678-3,publisher;repository,publisher
10.1016/j.jgo.2020.07.008,publisher;repository,repository
10.15585/mmwr.mm6932e1,publisher;repository,not_found
10.1016/j.ijengsci.2020.103213,publisher;repository,publisher
10.1016/j.comnet.2020.107348,publisher;repository,publisher
10.1016/j.immuni.2020.07.010,publisher;repository,publisher
10.3389/fnut.2020.576133,publisher;repository,publisher
10.1016/j.hrthm.2019.03.014,publisher;repository,not_found
10.1002/ejhf.1750,publisher;repository,publisher
10.1016/j.cell.2020.02.029,publisher;repository,publisher
10.1002/ijc.32220,publisher;repository,publisher
